GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US08031003603,8031003603,"Census Tract 36.03, Denver County, Colorado",1947,3
1400000US08031003701,8031003701,"Census Tract 37.01, Denver County, Colorado",1962,12
1400000US08031003702,8031003702,"Census Tract 37.02, Denver County, Colorado",1951,10
1400000US08031003703,8031003703,"Census Tract 37.03, Denver County, Colorado",1947,8
1400000US08031003800,8031003800,"Census Tract 38, Denver County, Colorado",1989,3
1400000US08031003901,8031003901,"Census Tract 39.01, Denver County, Colorado",1965,4
1400000US08031003902,8031003902,"Census Tract 39.02, Denver County, Colorado",1953,3
1400000US08031004002,8031004002,"Census Tract 40.02, Denver County, Colorado",1958,1
1400000US08031004003,8031004003,"Census Tract 40.03, Denver County, Colorado",-,**
1400000US08031004004,8031004004,"Census Tract 40.04, Denver County, Colorado",1964,2
1400000US08031004005,8031004005,"Census Tract 40.05, Denver County, Colorado",1969,2
1400000US08031004006,8031004006,"Census Tract 40.06, Denver County, Colorado",1967,3
1400000US08031004101,8031004101,"Census Tract 41.01, Denver County, Colorado",1967,5
1400000US08031004102,8031004102,"Census Tract 41.02, Denver County, Colorado",1956,1
1400000US08031004103,8031004103,"Census Tract 41.03, Denver County, Colorado",1939-,***
1400000US08031004104,8031004104,"Census Tract 41.04, Denver County, Colorado",1951,2
1400000US08031004106,8031004106,"Census Tract 41.06, Denver County, Colorado",2006,1
1400000US08031004107,8031004107,"Census Tract 41.07, Denver County, Colorado",2005,1
1400000US08031004201,8031004201,"Census Tract 42.01, Denver County, Colorado",1939-,***
1400000US08031004202,8031004202,"Census Tract 42.02, Denver County, Colorado",1939-,***
